"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Iowa"	"19"	203	2941999	6.9
	"2003"	"2003"	"Kansas"	"20"	225	2723004	8.3
	"2003"	"2003"	"Kentucky"	"21"	299	4117170	7.3
	"2003"	"2003"	"Louisiana"	"22"	212	4521042	4.7
	"2003"	"2003"	"Maine"	"23"	153	1306513	11.7
	"2003"	"2003"	"Maryland"	"24"	357	5496269	6.5
	"2003"	"2003"	"Massachusetts"	"25"	353	6422565	5.5
	"2003"	"2003"	"Michigan"	"26"	642	10041152	6.4
	"2003"	"2003"	"Minnesota"	"27"	458	5053572	9.1
	"2003"	"2003"	"Mississippi"	"28"	117	2868312	4.1
	"2003"	"2003"	"Missouri"	"29"	495	5709403	8.7
	"2003"	"2003"	"Montana"	"30"	124	919630	13.5
	"2003"	"2003"	"Nebraska"	"31"	82	1738643	4.7
	"2003"	"2003"	"Nevada"	"32"	392	2248850	17.4
	"2003"	"2003"	"New Hampshire"	"33"	109	1279840	8.5
	"2003"	"2003"	"New Jersey"	"34"	503	8601402	5.8
	"2003"	"2003"	"New Mexico"	"35"	435	1877574	23.2
	"2003"	"2003"	"New York"	"36"	1088	19175939	5.7
	"2003"	"2003"	"North Carolina"	"37"	589	8422501	7.0
	"2003"	"2003"	"North Dakota"	"38"	78	638817	12.2
	"2003"	"2003"	"Ohio"	"39"	680	11434788	5.9
	"2003"	"2003"	"Oklahoma"	"40"	403	3504892	11.5
	"2003"	"2003"	"Oregon"	"41"	590	3547376	16.6
	"2003"	"2003"	"Pennsylvania"	"42"	541	12374658	4.4
	"2003"	"2003"	"Rhode Island"	"44"	65	1071342	6.1
	"2003"	"2003"	"South Carolina"	"45"	205	4150297	4.9
	"2003"	"2003"	"South Dakota"	"46"	75	763729	9.8
	"2003"	"2003"	"Tennessee"	"47"	530	5847812	9.1
	"2003"	"2003"	"Texas"	"48"	1342	22030931	6.1
	"2003"	"2003"	"Utah"	"49"	273	2360137	11.6
	"2003"	"2003"	"Vermont"	"50"	94	617858	15.2
	"2003"	"2003"	"Virginia"	"51"	531	7366977	7.2
	"2003"	"2003"	"Washington"	"53"	750	6104115	12.3
	"2003"	"2003"	"West Virginia"	"54"	258	1812295	14.2
	"2003"	"2003"	"Wisconsin"	"55"	401	5479203	7.3
	"2003"	"2003"	"Wyoming"	"56"	67	503453	13.3
"Total"	"2003"	"2003"			22834	290107933	7.9
	"2004"	"2004"	"Alabama"	"01"	190	4530729	4.2
	"2004"	"2004"	"Alaska"	"02"	48	659286	7.3
	"2004"	"2004"	"Arizona"	"04"	520	5652404	9.2
	"2004"	"2004"	"Arkansas"	"05"	204	2749686	7.4
	"2004"	"2004"	"California"	"06"	3616	35574576	10.2
	"2004"	"2004"	"Colorado"	"08"	339	4575013	7.4
	"2004"	"2004"	"Connecticut"	"09"	193	3496094	5.5
	"2004"	"2004"	"Delaware"	"10"	88	830803	10.6
	"2004"	"2004"	"District of Columbia"	"11"	134	567754	23.6
	"2004"	"2004"	"Florida"	"12"	1670	17415318	9.6
	"2004"	"2004"	"Georgia"	"13"	556	8769252	6.3
	"2004"	"2004"	"Hawaii"	"15"	96	1273569	7.5
	"2004"	"2004"	"Idaho"	"16"	98	1391802	7.0
	"2004"	"2004"	"Illinois"	"17"	595	12589773	4.7
	"2004"	"2004"	"Indiana"	"18"	379	6233007	6.1
	"2004"	"2004"	"Iowa"	"19"	182	2953635	6.2
	"2004"	"2004"	"Kansas"	"20"	257	2734373	9.4
	"2004"	"2004"	"Kentucky"	"21"	271	4146101	6.5
	"2004"	"2004"	"Louisiana"	"22"	172	4552238	3.8
	"2004"	"2004"	"Maine"	"23"	143	1313688	10.9
	"2004"	"2004"	"Maryland"	"24"	364	5546935	6.6
	"2004"	"2004"	"Massachusetts"	"25"	336	6412281	5.2
	"2004"	"2004"	"Michigan"	"26"	726	10055315	7.2
	"2004"	"2004"	"Minnesota"	"27"	470	5087713	9.2
	"2004"	"2004"	"Mississippi"	"28"	143	2889010	4.9
	"2004"	"2004"	"Missouri"	"29"	479	5747741	8.3
	"2004"	"2004"	"Montana"	"30"	99	930009	10.6
	"2004"	"2004"	"Nebraska"	"31"	78	1749370	4.5
	"2004"	"2004"	"Nevada"	"32"	367	2346222	15.6
	"2004"	"2004"	"New Hampshire"	"33"	114	1290121	8.8
	"2004"	"2004"	"New Jersey"	"34"	448	8634561	5.2
	"2004"	"2004"	"New Mexico"	"35"	362	1903808	19.0
	"2004"	"2004"	"New York"	"36"	950	19171567	5.0
	"2004"	"2004"	"North Carolina"	"37"	659	8553152	7.7
	"2004"	"2004"	"North Dakota"	"38"	63	644705	9.8
	"2004"	"2004"	"Ohio"	"39"	777	11452251	6.8
	"2004"	"2004"	"Oklahoma"	"40"	377	3525233	10.7
	"2004"	"2004"	"Oregon"	"41"	517	3569463	14.5
	"2004"	"2004"	"Pennsylvania"	"42"	560	12410722	4.5
	"2004"	"2004"	"Rhode Island"	"44"	68	1074579	6.3
	"2004"	"2004"	"South Carolina"	"45"	220	4210921	5.2
